id,project_id,contractor_id,total_cost,materials_cost,labor_cost,equipment_cost,overhead_cost,start_date,completion_date,project_phases,milestones,technical_risks,financial_risks,timeline_risks,mitigation_strategies,permits,regulations,standards,certifications,profit_margin,roi,breakeven_point,contingency,status,ai_analysis,created_at,updated_at
1,1,4,226811.04,85731.91,87629.45,42648.45,22681.1,2025-07-10,2025-10-08,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",14.46,16.53,54 days,10.98,accepted,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Consider reducing material costs by 5-8% to improve competitiveness"",""Your timeline is realistic but could be optimized in Phase 2"",""Risk mitigation strategies are comprehensive and well-planned"",""Compliance documentation appears complete and thorough""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 12%"",""Optimized equipment scheduling could save $15,000"",""Bulk purchasing agreements available for major materials""],""potentialSavings"":21959},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":68,""averageBidRange"":""$420,000 - $580,000""},""competitivenessScore"":94}",2025-06-30 11:25:21,2025-06-30 11:25:21
2,1,3,956980.62,301229.49,252108.09,186717.9,95698.06,2025-07-21,2026-01-10,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",10.55,21.83,31 days,8.25,withdrawn,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Include allowances for homeowner change requests"",""Consider seasonal weather impacts on construction timeline"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":53729},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":78,""averageBidRange"":""$40,000 - $60,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
3,1,2,144896.09,45346.33,44233.44,16077.82,14489.61,2025-07-09,2025-11-24,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",16.25,15.49,33 days,9.72,accepted,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Include allowances for homeowner change requests"",""Consider seasonal weather impacts on construction timeline"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":43390},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":71,""averageBidRange"":""$40,000 - $60,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
4,2,5,844294.5,300263.22,262122.84,119113.72,84429.45,2025-07-18,2025-09-03,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Primary construction and installation (4-5 weeks)
Phase 4: Testing, commissioning, and handover (2-3 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",13.65,17.34,48 days,9.62,withdrawn,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":41573},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":74,""averageBidRange"":""$40,00,000 - $60,00,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
5,2,1,419105.65,205524.57,154602.87,55762.96,41910.57,2025-07-15,2025-12-06,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Primary construction and installation (4-5 weeks)
Phase 4: Testing, commissioning, and handover (2-3 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Utility conflicts and relocations
Traffic management during construction
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Right-of-way permits
Traffic control permits
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",18.29,15.92,69 days,6.85,rejected,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Utility conflicts may cause delays - conduct thorough site survey"",""Permit approval timeline may impact start date""],""recommendations"":[""Account for traffic management and public safety requirements"",""Include utility coordination and relocation costs"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":30322},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":71,""averageBidRange"":""$20,770 - $31,155""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
6,2,3,342242.3,150371.4,120583.95,52757.36,34224.23,2025-07-24,2026-01-16,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Primary construction and installation (4-5 weeks)
Phase 4: Testing, commissioning, and handover (2-3 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Utility conflicts and relocations
Traffic management during construction
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Right-of-way permits
Traffic control permits
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",13.24,23.55,119 days,8.27,withdrawn,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Utility conflicts may cause delays - conduct thorough site survey"",""Permit approval timeline may impact start date""],""recommendations"":[""Account for traffic management and public safety requirements"",""Include utility coordination and relocation costs"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":26637},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":66,""averageBidRange"":""$20,770 - $31,155""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
7,1,3,746068.49,287616.49,246323.84,140804.23,74606.85,2025-07-19,2025-11-25,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",18.59,24.25,95 days,9.32,rejected,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Consider reducing material costs by 5-8% to improve competitiveness"",""Your timeline is realistic but could be optimized in Phase 2"",""Risk mitigation strategies are comprehensive and well-planned"",""Compliance documentation appears complete and thorough""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 12%"",""Optimized equipment scheduling could save $15,000"",""Bulk purchasing agreements available for major materials""],""potentialSavings"":21959},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":68,""averageBidRange"":""$420,000 - $580,000""},""competitivenessScore"":94}",2025-06-30 11:25:21,2025-06-30 11:25:21
8,1,2,177300.13,84857.2,68906.65,25018.4,17730.01,2025-07-08,2025-11-05,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",19.91,23.41,8 days,11.87,rejected,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Include allowances for homeowner change requests"",""Consider seasonal weather impacts on construction timeline"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":53729},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":78,""averageBidRange"":""$40,000 - $60,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
9,1,2,162533.17,68171.31,53680.37,22476.1,16253.32,2025-07-09,2025-09-02,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Framing and roofing (2-3 weeks)
Phase 4: Interior finishing and final inspections (3-4 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",15.21,18.04,84 days,12.03,accepted,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Include allowances for homeowner change requests"",""Consider seasonal weather impacts on construction timeline"",""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":43390},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":71,""averageBidRange"":""$40,000 - $60,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
10,2,3,232134.58,69814.6,70264.74,33398.36,23213.46,2025-07-05,2025-11-27,"Phase 1: Site preparation and permits (2-3 weeks)
Phase 2: Foundation and structural work (4-6 weeks)
Phase 3: Primary construction and installation (4-5 weeks)
Phase 4: Testing, commissioning, and handover (2-3 weeks)","• Site mobilization and setup
• Foundation completion
• Structural work completion
• MEP rough-in completion
• Final inspections and approvals
• Project handover and documentation","Site conditions and soil stability
Weather-related delays
Material availability and quality","Material cost fluctuations, labor availability, equipment rental rates","Weather delays, permit approval delays, supply chain disruptions","• Conduct thorough site surveys and geotechnical analysis
• Establish relationships with multiple suppliers
• Implement weather contingency plans
• Regular quality control inspections
• Maintain buffer time in critical path activities
• Secure backup equipment and labor resources","Building permit
Site work permit
Environmental permits
Utility connection permits","• Local building codes and zoning requirements
• OSHA safety regulations
• Environmental protection standards
• ADA compliance requirements
• Fire safety and life safety codes","International Building Code (IBC)
Local building standards
ACI concrete standards
AISC steel construction standards","OSHA compliance, local building codes, environmental regulations",16.6,23.15,47 days,12.12,withdrawn,"{""riskAlerts"":[""Material cost fluctuation risk detected - consider price locks"",""Weather dependency identified for outdoor phases"",""Permit approval timeline may impact start date""],""recommendations"":[""Consider bulk purchasing agreements to reduce material costs"",""Optimize equipment scheduling to minimize rental costs"",""Include contingency for permit approval delays""],""costOptimization"":{""suggestions"":[""Alternative material suppliers could reduce costs by 8-12%"",""Optimized equipment scheduling could save $15,000-25,000"",""Bulk purchasing agreements available for major materials"",""Consider value engineering opportunities in non-critical areas""],""potentialSavings"":41573},""marketComparison"":{""yourPosition"":""Competitive"",""winProbability"":74,""averageBidRange"":""$40,00,000 - $60,00,000""},""competitivenessScore"":75}",2025-06-30 11:25:21,2025-06-30 11:25:21
